Id,SalePrice
1461,133385.703125
1462,210029.359375
1463,217987.578125
1464,244673.96875
1465,264873.9375
1466,198019.65625
1467,179153.59375
1468,188210.046875
1469,219036.28125
1470,136092.515625
1471,263876.96875
1472,104433.1640625
1473,104948.28125
1474,155782.15625
1475,120153.1640625
1476,476978.96875
1477,318116.03125
1478,325324.5
1479,344858.46875
1480,610821.5
1481,391493.28125
1482,241694.984375
1483,217605.859375
1484,194014.890625
1485,215216.390625
1486,226656.765625
1487,412968.5
1488,268790.90625
1489,277179.15625
1490,250353.5
1491,247933.109375
1492,88583.0390625
1493,199019.25
1494,333974.40625
1495,323891.96875
1496,250858.390625
1497,217585.046875
1498,162915.203125
1499,167074.78125
1500,189101.96875
1501,241925.109375
1502,188974.328125
1503,316078.40625
1504,272500.28125
1505,257988.734375
1506,226579.5625
1507,283627.375
1508,210931.671875
1509,188806.46875
1510,185131.015625
1511,153905.359375
1512,207777.171875
1513,127794.6875
1514,167894.328125
1515,254028.015625
1516,190803.09375
1517,200825.671875
1518,130039.0390625
1519,292795.09375
1520,154487.9375
1521,158149.609375
1522,189945.15625
1523,128046.6640625
1524,134860.890625
1525,140805.25
1526,136881.046875
1527,139673.421875
1528,142361.265625
1529,167296.328125
1530,192490.15625
1531,132075.390625
1532,91978.1796875
1533,159258.796875
1534,167012.328125
1535,173506.421875
1536,117518.7109375
1537,86565.1328125
1538,164208.203125
1539,234488.359375
1540,110188.1328125
1541,166849.671875
1542,150443.203125
1543,193674.140625
1544,102889.703125
1545,127987.1953125
1546,149964.53125
1547,149959.890625
1548,146872.515625
1549,139657.359375
1550,167704.046875
1551,113498.125
1552,171720.6875
1553,178890.859375
1554,146114.53125
1555,178611.921875
1556,126501.1640625
1557,151500.671875
1558,90947.5859375
1559,91382.3359375
1560,141032.828125
1561,123417.125
1562,131598.359375
1563,134878.453125
1564,189808.765625
1565,184051.765625
1566,247962.9375
1567,86591.546875
1568,288250.21875
1569,183478.671875
1570,162944.203125
1571,133081.65625
1572,168658.75
1573,384885.21875
1574,148415.515625
1575,294024.84375
1576,277216.3125
1577,231613.0625
1578,181298.78125
1579,156729.09375
1580,211550.265625
1581,171225.890625
1582,138283.328125
1583,373808.78125
1584,239449.296875
1585,170714.703125
1586,59120.1796875
1587,101445.4453125
1588,154635.375
1589,93688.78125
1590,140353.921875
1591,82542.4375
1592,96719.9375
1593,126280.4921875
1594,149353.703125
1595,144691.640625
1596,230311.640625
1597,214688.515625
1598,252547.453125
1599,209564.234375
1600,182341.796875
1601,47334.30078125
1602,115572.8125
1603,128397.8984375
1604,332982.9375
1605,281961.09375
1606,169728.28125
1607,174711.046875
1608,249536.578125
1609,233116.5625
1610,182089.546875
1611,159261.703125
1612,220808.265625
1613,169416.71875
1614,148486.453125
1615,96139.1796875
1616,81427.2265625
1617,97693.9140625
1618,135897.84375
1619,164830.390625
1620,179581.828125
1621,168984.609375
1622,156694.8125
1623,251231.234375
1624,281031.46875
1625,138619.625
1626,178788.859375
1627,213670.734375
1628,363777.28125
1629,178826.328125
1630,430928.59375
1631,205533.828125
1632,270033.21875
1633,165471.125
1634,214454.859375
1635,216242.640625
1636,171965.703125
1637,212619.109375
1638,233823.078125
1639,202882.015625
1640,270285.59375
1641,201867.296875
